Keyword,Taboo1,Taboo2,Taboo3,Taboo4,level,Page,Found By
Partition testing,section,category,data,technique,4,533,A.P.
state-based partitioning,testing,design,categorize,withdraw,4,534,A.P.
interclass test-case design,testing,system,complicate,integretion ,4,534,A.P.
usibilty test,representative,design,evaluate,usability,4,552,A.P.
compatibilty test,simple,point,checking,values,4,554,A.P.
component level testing,module,produce,life cycle,program,4,555,A.P.
interactablity,testing,quality,state,information,3,552,A.P.
interface testing,different,system,class,software,3,549,A.P.
feasibility analysis,investigate,analysis,project,outcome,3,571,A.P.
stress testing,exteme,mobile,effect,simulation,3,573,A.P.
attack pattern,security,group,testing,purpose,2,589,A.P.
security model,formal,model,computation,computing,3,590,A.P.
scope,span,confines,purview,project,1,684,S.K
capability,capacity,competence,potential,qualification,2,685,S.K
module,width,breadth,broadness,functionality,2,,S.K
framework activities,communication,planning,modeling,construction,4,31,E.B
sequential approach,in an order,next,following,serial,2,42,E.B
extensibility,elasticity,adaptability,resilience,flexibility,3,52,E.B
packages,bags,classes,boxes,bottles,2,53,E.B
Phases of the Unified Process ,Inception,Elaboration,Construction,Transition,4,57,E.B
representations,image,illustration,model,sketch,1,204,E.B
semantic ,linguistic,phonological,morphological,syntactic,3,208,E.B
Actuator,activate,cause,influence,inspire,2,209,E.B
Constraints ,force,pressure,compulsion,violence,1,210,E.B
construction,creation,building,planning,structure,1,226,E.B
Guidelines,rule,key,instruction,standard,2,228,E.B
ControlPanel,window,set,hit,control,1,203,Z.P
Sequence Diagrams,event,map,UML,write,2,205,Z.P
WebApps,web,program,user,page,1,218,Z.P
requirements engineering,task,action,activity,beginning,2,132,Z.P
Elicitation,establish,customer,goals,object,3,134,Z.P
Specification,prototype,models,usage,set,2,135,Z.P
Requirements management,track,prokect,control,system,2,138,Z.P
nonfunctional requirement,quality,security,general,performance,2,141,Z.P
complementary,sequences,produce,angles,pair,,142,Z.P
overlap,repeat,segistration,same,follow,,142,Z.P
conflicting,inconsitent,nonuniform,same,skirmishing,,142,Z.P
independent,alone,free,isolated,separate,,142,Z.P
Usage Scenarios,real,interact,occur,action,3,146,Z.P
Service-oriented development,service,aggregation,single,request,3,148,Z.P
touchpoint,user,function,connect,customer,2,148,Z.P
troubleshooter,worker,skill,expert,repair,1,149,Z.P
Primary actors,goal,system,interaction,achieve,3,149,Z.P
Secondary actors,assistance,primary,goals,achieve,2,149,Z.P
Scenario-based elements,model,eliciting,diagram,creation,2,155,Z.P
Class-based elements,set,object,manipulated,usage,2,155,Z.P
Behavioral elements,profound,effect,design,behavior,2,156,Z.P
analysis patterns,requirement,integrated,analysis,reference,2,157,Z.P
Agile requirements engineering,volatility,predufined,emerge,features,2,158,Z.P
Self-adaptive systems,system,flexibility,functional,aspect,3,158,Z.P
negotiation requirments,talk,stakeholders,product,cost,2,159,Z.P
handshaking,impact,comminicates,tentions,customer,2,160,Z.P
requirements monitoring,run-time,evolution,activity,count,3,161,Z.P
validating requirement,question,omissions,ambiguity,sistency,3,161,Z.P
Fearturitis,functional,overall,quality,possible,3,162,Z.P
flexibilitis,overload,adaptation,facilities,exhibit,2,162,Z.P
performitis,expense,maintainability,secirity,reliability,2,162,Z.P
Domain Analysis,process,related,system,common,1,170,Z.P
structured analysis,transform,data,entities,object,1,171,Z.P
object-oriented analysis,definition,effect,requirement,UML,1,172,Z.P
Flow models,DFDs,data models,water,picture,1,172,Z.P
scenario-based models,view,point,actors,information,2,172,Z.P
class models,business,analyst,communicate,understand,1,172,Z.P
UML,language,software,design,map,1,180,Z.P
Activity Diagram,behavior,flow of control,sequence,condition,1,180,Z.P
Swimlane Diagrams,activity,flow of activities,use case,analysis,1,181,Z.P
Essential requirements,solution,external,operation,model,2,187,Z.P
Collaborations,section,responsibilities,object,team,2,212,Z.P
Navigation Modeling,list,related,platforms,applications,2,212,Z.P
Quality Guidelines,design,process,map,evaluate,2,228,Z.P
Quality Attributes,set,function,performance,supportability,2,229,Z.P
Supportability,adaptability,attributes,testability,extensibility,3,230,Z.P
Functionality,evaluating,feature set,capability,program,1,230,Z.P
Usability,documentation,function,human,useful,1,230,Z.P
Reliability,frequency,service,output,failure,1,230,Z.P
Performance,processing speed,response,time,source,1,230,Z.P
Software architecture,structure,software,conceptual,system,1,232,Z.P
Structural models,architecture,program,components,organized,2,233,Z.P
Framework models,level,repeatable,page,base,1,233,Z.P
Dynamic models,behavior,program,function,events,2,233,Z.P
functional models,system,user,human,hierarchy,2,233,Z.P
ADLs,models,mechanism,describe,languages,3,233,Z.P
design pattern,structure,problem,blue print,impact,1,234,Z.P
Separation of concerns,concept,design,part,feature,2,234,Z.P
Modularity,manifestation,requirement,attribute,program,2,234,Z.P
information hiding,other,design,see,outside,1,235,Z.P
Functional independence,outgrowth,concerns,modularity,information,2,236,Z.P
Stepwise refinement,top-down,design,strategy,application,2,237,Z.P
Refactoring,reorganization,technique,design,function,2,238,Z.P
cohesion,work,models,together,relative,1,240,Z.P
coupling,two,models,relative,connect,1,240,Z.P
architectural design,equivalent,plan,overall,size,1,244,Z.P
decision metaphor,architecture,cost,usability,performance,2,255,Z.P
Emergence,self-organized,scalable,efficient,economic,2,265,Z.P
Symmetry,system,attributes,design,communicate,2,264,Z.P
SOAD,modeling,framework,architectural,dependencies,2,266,Z.P
guidance model,architecture,style,genre,information,3,266,Z.P
decision model,architecture,record,decisions,project,3,267,Z.P
ACD,model,interact,boundaries,structure,3,267,Z.P
archetype,class,pattern,core,target,2,269,Z.P
SEI,group,team,establish,analysis,1,275,Z.P
ATAM,design,activities,analysis,iterative,2,275,Z.P
user’s mental model,image,user,perception,description,2,323,Z.P
implementation model,outward,interface,coupled,describes,3,323,Z.P
Workflow Analysis,task,work,technique,process,2,328,Z.P
Anticipation,design,application,user,requested,2,338,Z.P
Flexibility,easy,interface,application,user,2,338,Z.P
Testing,examination,verification,proof,trial,1,496,E.B
Black-box testing,glass-box testing,structural testing,test ,path,4,500,E.B
Controllability,optimized,automate,output,input,4,497,Z.P
 white-box testing,internal view,Black-box testing,test ,functional testing,4,499,E.B
demonstrate,determine,establish,indicate,expose,1,499,E.B
Independent,separate,disjointed,divided,split,1,502,E.B
Path,direction,route,track,street,1,502,E.B
code,program ,framework,lines,symbol,1,504,E.B
 statements,words,lines of code ,double quotation,Single  quotation,1,505,E.B
rows,Matrix,colum ,lines,order,1,506,E.B
Loops,ring,circle ,self,round,2,508,E.B
linked,associate,mix,relate,pair,2,512,E.B
